,Date,Text,Location,Person,Organization,siren
0,,For information regarding fallen soldiers please visit this page in the IDF website in HebrewFor information regarding the injured soldiers please visit this page in the IDF website in Hebrew:For past daily updates visit this page,"['Hebrew', 'Hebrew']",[],"['IDF', 'IDF']",0
1,29/02/2024,"18:31Following the terror attack at the gas station in Eli, IDF soldiers are continuing to carry out scans in the area. ",['Eli'],[],['IDF'],0
2,29/02/2024,18:05Sirens sounded in northern Israel.,['northern Israel'],[],[],1
3,29/02/2024,"17:41A short while ago, a terrorist arrived at a gas station in Eli and opened fire. The terrorist was neutralized. IDF soldiers are blocking off routes and pursuing additional suspects in the area.",['Eli'],[],['IDF'],0
4,29/02/2024,"13:06Early this morning, during the entry of humanitarian aid trucks into the northern Gaza Strip, Gazan residents surrounded the trucks, and looted the supplies being delivered. During the incident, dozens of Gazans were injured as a result of pushing and trampling. The incident is under review.",['northern Gaza Strip'],[],[],0
5,29/02/2024,12:14Sirens sounded in northern Israel.,['northern Israel'],[],[],1
6,29/02/2024,"11:49A short while ago, IDF fighter jets struck a number of Hezbollah terror targets in the area of Jabal Blat, including launch posts and a military site in which terrorists operated. ",['Jabal Blat'],[],"['IDF', 'Hezbollah']",0
7,29/02/2024,"This morning, a number of launches were identified crossing from Lebanon toward Adamit and Shlomi in northern Israel. The IDF struck the source of the fire.","['Lebanon', 'Adamit', 'Shlomi', 'northern Israel']",[],['IDF'],0
8,29/02/2024,11:02Sirens sounded in communities near Gaza. ,['Gaza'],[],[],1
9,29/02/2024,10:56Sirens sounded in northern Israel.,['northern Israel'],[],[],1
10,29/02/2024,08:31Terrorist cells were eliminated in Zaytun as IDF activity in the area continues and IDF troops are continuing to eliminate terrorists and dismantle terrorist infrastructure in Khan Yunis-24hr operational update.,"['Zaytun', 'Khan Yunis - 24hr']",[],"['IDF', 'IDF']",0
11,29/02/2024,08:02Sirens sounded in northern Israel.,['northern Israel'],[],[],1
12,28/02/2024,"A short while ago, IDF fighter jets struck Hezbollah terrorist infrastructure in the areas of Kafra and Seddiqine in southern Lebanon. In addition, IDF artillery struck in the area of Houla.","['Kafra', 'Seddiqine', 'southern Lebanon', 'Houla']",[],"['IDF', 'Hezbollah', 'IDF']",0
13,28/02/2024,"18:15Following the sirens sounded in the Western Galilee area, a number of launches from Lebanon toward Israel were identified. Some of the launches fell in Lebanon, and the rest fell in open areas in Israeli territory. No injuries were reported. ","['Western Galilee area', 'Lebanon', 'Israel', 'Lebanon', 'Israeli']",[],[],1
14,28/02/2024,"Earlier today (Wednesday), fighter jets struck a launcher used to fire toward the area of Kiryat Shmona in northern Israel. ","['Kiryat Shmona', 'northern Israel']",[],[],0
15,28/02/2024,"Additionally, Hezbollah military infrastructure was struck in the areas of al-Saqi, Bint Jbeil, and Yarine.","['al - Saqi', 'Binl', 'Yarine']",[],['Hezbollah'],0
16,28/02/2024,17:02Sirens sounded in northern Israel.,['northern Israel'],[],[],1
17,28/02/2024,"12:39As part of cooperation between Israel and the international community, Jordan, France, the United Arab Emirates, Egypt and the USA - the airdrop operation (Tuesday) of 160 packages of food and medical equipment for the residents of the southern Gaza Strip and the Jordanian field hospital in Khan Yunis, has ended. The move was carried out in coordination with the International Cooperation Division of the Strategic Planning and Cooperation Directorate (J5), the Coordination and Liaison Administration to Gaza (CLA) of the COGAT Unit, the 98th Division and the IAF. Read more here. ","['Israel', 'Jordan', 'France', 'United Arab Emirates', 'Egypt', 'USA', 'southern Gaza Strip', 'Khan Yunis']",[],"['Jordanian field hospital', 'International Cooperation Division of the Strategic Planning and Cooperation Directorate', 'J5 Coordination and Liaison Administration to Gaza', 'CLA', 'COGAT Unit', '98th Division', 'IAF']",0
18,28/02/2024,"11:06 Following the sirens sounded in the area of Kiryat Shmona in northern Israel earlier today (Wednesday), approximately 10 launches which crossed from Lebanon into northern Israel were identified. The IDF Aerial Defense Array successfully intercepted a number of the launches. In response, the IDF struck the sources of the fire in Lebanon. ","['Kiryat Shmona', 'northern Israel', 'Lebanon', 'northern Israel', 'Lebanon']",[],"['IDF Aerial Defense Array', 'IDF']",1
19,28/02/2024,"A short while ago, IDF fighter jets struck a Hezbollah weapons storage facility and military structures in the area of Ramyeh in southern Lebanon. Additionally, overnight, the IDF struck a Hezbollah weapons manufacturing site in the area of Khirbet Selm. ","['Ramyeh', 'southern Lebanon', 'Khirbet Selm']",[],"['IDF', 'Hezbollah', 'IDF', 'Hezbollah']",0
20,28/02/2024,09:07 Sirens sounded in northern Israel. ,['northern Israel'],[],[],1
21,28/02/2024,09:03 IDF troops continue to eliminate terrorists and locate weapons in Khan Yunis and Zaytun as operations in Gaza continue-24hr operational update. ,"['Khan Yunis', 'Zaytun', 'Gaza']",[],['IDF'],0
22,28/02/2024,08:48 Sirens sounded in northern Israel. ,['northern Israel'],[],[],1
23,28/02/2024,"03:38, 03:49 Sirens sounded in southern Israel. ",['southern Israel'],[],[],1
24,28/02/2024,"00:15A short while ago, IDF fighter jets struck Hezbollah military compounds and terrorist infrastructure in the areas of Tayibe, Beit Lif, Seddiqine, and Khirbet Selm.","['Tayibe', 'Beit Lif', 'Seddiqine', 'Khirbet Selm']",[],"['IDF', 'Hezbollah']",0
25,28/02/2024,"Yesterday (Tuesday), IDF fighter jets struck Hezbollah military infrastructure and an aircraft struck a terrorist cell identified in the area of Ayta ash Shab. Throughout the day, the IDF struck a number of additional terrorist infrastructure in the area. ",['Ayta ash Shab'],[],"['IDF', 'Hezbollah', 'IDF']",0
26,27/02/2024,"21:28Following the sirens that sounded in northern Israel earlier today, approximately 20 launches were identified crossing from Lebanon into northern Israel, some of which were successfully intercepted by the IDF Aerial Defense Array and the rest fell according to protocol.","['northern Israel', 'Lebanon', 'northern Israel']",[],['IDF Aerial Defense Array'],1
27,27/02/2024,"In addition, an anti-tank missile was identified crossing from Lebanon toward the area of Meron in northern Israel. A hit was identified in the area of the IDF Aerial Control Unit, and did not harm the site’s capabilities. ","['Lebanon', 'Meron', 'northern Israel']",[],['IDF Aerial Control Unit'],0
28,27/02/2024,The IDF is currently striking Hezbollah terror targets in Lebanon.,['Lebanon'],[],"['IDF', 'Hezbollah']",0
